year,orig_name,population_count,mean_population_count,park_id,wdpa_pid,iso_3,area_km2
2001,North Luangwa,3750,3577.375,North Luangwa,1088,ZMB,4707.22259796019
2001,Mana Pools,3708,3659,Mana Pools National Park,555624126,ZWE,2208.34773391122
2001,Kafue,3729,2930.125,Kafue,1085,ZMB,22446.8596605456
2001,Moremi,6048,8284.42857142857,Moremi,7449,BWA,4852.88414637045
2001,Chobe,33219,26523.8888888889,Chobe,600,BWA,10561.8634672845
2001,Nxai Pan,255,441,Nxai Pan,601,BWA,2602.74097155433
2001,Makgakgadi,190,725.714285714286,Makgadikgadi Pans,1224,BWA,4915.6850783092
2001,Vicoria Falls /Zambezi NP,4201,3624.33333333333,Zambezi,2530,ZWE,518.335266985623
2001,Hwange,44492,41553.3333333333,Hwange,1991,ZWE,14776.4896001221
2001,Chizarira,5011,2207.6,Chizarira,1105,ZWE,1958.52237883375
2001,Matusadonha,1716,1436.66666666667,Matusadona,1107,ZWE,1430.41458263287
2001,Northern Tuli,718,466.142857142857,Northern Tuli,300280,BWA,752.262996069064
2001,Mapungubwe,11,134.857142857143,Mapungupwe National Park,308687,ZAF,153.095810209149
2001,Gonarezhou,4987,9267,Gonarezhou,1104,ZWE,4946.61705661663
2001,Kruger,9276,13544,Kruger National Park,873,ZAF,19254.9302895244
2001,Tembe,140,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2001,iSimangaliso,24,48,iSimangaliso Wetland Park,198302,ZAF,3228.81320126781
2001,HIP,310,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2001,Pilanesberg,111,193.176470588235,Pilanesberg National Park,9129,ZAF,504.924528239252
2001,Madikwe,389,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330288
2002,South Luangwa,4459,4105.6,South Luangwa,1086,ZMB,8710.5859831601
2002,Kasungu,117,128.833333333333,Kasungu National Park,780,MWI,2374.81644820862
2002,Kafue,2197,2930.125,Kafue,1085,ZMB,22446.8596605456
2002,Moremi,9562,8284.42857142857,Moremi,7449,BWA,4852.88414637045
2002,Chobe,31598,26523.8888888889,Chobe,600,BWA,10561.8634672845
2002,Nxai Pan,0,441,Nxai Pan,601,BWA,2602.74097155433
2002,Makgakgadi,337,725.714285714286,Makgadikgadi Pans,1224,BWA,4915.6850783092
2002,Venetia Limpopo,59,78,Venetia Limpopo,,,
2002,Makhuya,27,82.5,Makhuya,,,
